reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,10,10,0,-0.19703852478741332,left,False
sparse,0.5,10,10,1,-0.14316373018312178,right,False
sparse,0.5,10,11,0,-0.19875277909121017,left,False
sparse,0.5,10,11,1,-0.06546293727244583,right,False
sparse,0.5,10,12,0,-0.19947381415614607,left,False
sparse,0.5,10,12,1,0.1093619883335612,right,False
sparse,0.5,10,13,0,-0.19977729591269064,left,False
sparse,0.5,10,13,1,0.48485657505406193,down,False
sparse,0.5,10,14,0,-0.1999054414610016,left,False
sparse,0.5,10,14,1,0.9408618206533316,down,False
sparse,0.5,10,15,0,-0.19995979432580918,left,False
sparse,0.5,10,15,1,0.41031527573868243,down,False
sparse,0.5,10,16,0,-0.19998421828416507,left,False
sparse,0.5,10,16,1,0.08149990646654455,left,False
sparse,0.5,11,1,0,3.75946582700505,right,False
sparse,0.5,11,1,1,-0.20218477781597316,right,False
sparse,0.5,11,2,0,8.41911592309943,down,False
sparse,0.5,11,2,1,-0.20120502458071804,left,False
sparse,0.5,11,7,0,-0.1723868313334245,right,False
sparse,0.5,11,7,1,-0.19628893701440026,right,False
sparse,0.5,11,8,0,-0.15970401978902404,down,False
sparse,0.5,11,8,1,-0.19356013524783294,down,False
sparse,0.5,11,9,0,-0.19509755767852527,up,False
sparse,0.5,11,9,1,-0.1885460122576604,up,False
sparse,0.5,11,10,0,-0.19854108258278974,up,False
sparse,0.5,11,10,1,-0.16915729106389035,up,False
sparse,0.5,11,11,0,-0.19941591207039278,up,False
sparse,0.5,11,11,1,-0.049289857874113226,right,False
sparse,0.5,11,12,0,-0.1997548293997958,up,False
sparse,0.5,11,12,1,0.3661194568473891,right,False
sparse,0.5,11,13,0,-0.19989014739992228,left,False
sparse,0.5,11,13,1,1.3308634622384201,down,False
sparse,0.5,11,14,0,-0.19995035222431917,left,False
sparse,0.5,11,14,1,2.490258071075502,down,False
sparse,0.5,11,15,0,-0.19997900903943328,left,False
sparse,0.5,11,15,1,1.1479929746009405,down,False
sparse,0.5,11,16,0,-0.20001738856433715,left,False
sparse,0.5,11,16,1,0.4206650657502115,left,False
sparse,0.5,12,1,0,8.27412659099061,right,False
sparse,0.5,12,1,1,-0.19990007649444297,right,False
sparse,0.5,12,2,1,-0.199532680989683,down,False
sparse,0.5,12,3,0,8.419238692624198,left,False
sparse,0.5,12,3,1,-0.1989573858496669,down,False
sparse,0.5,12,4,0,3.4295645227099025,left,False
sparse,0.5,12,4,1,-0.19771025383706323,down,False
sparse,0.5,12,5,0,1.2764523477577252,left,False
sparse,0.5,12,5,1,-0.19499214570699577,down,False
sparse,0.5,12,6,0,0.3460055594762443,left,False
sparse,0.5,12,6,1,-0.1891571620605297,down,False
sparse,0.5,12,7,0,0.027802034594100092,left,False
sparse,0.5,12,7,1,-0.17808513336948031,down,False
sparse,0.5,12,8,0,-0.10332432311496928,left,False
sparse,0.5,12,8,1,-0.1857959170590432,left,False
sparse,0.5,12,13,0,-0.19998678724363428,right,False
sparse,0.5,12,13,1,3.2201114649323923,down,False
sparse,0.5,12,14,0,-0.19998035919049906,up,False
sparse,0.5,12,14,1,6.16578812334676,down,False
sparse,0.5,12,15,0,-0.20001719555650904,up,False
sparse,0.5,12,15,1,2.75611704504704,down,False
sparse,0.5,12,16,0,-0.20053136576510594,left,False
sparse,0.5,12,16,1,1.1478576207562814,left,False
sparse,0.5,13,1,0,3.71932894381701,up,False
sparse,0.5,13,1,1,-0.19955409850919614,right,False
sparse,0.5,13,2,0,8.274243222061383,up,False
sparse,0.5,13,2,1,-0.19897407718172605,right,False
sparse,0.5,13,3,0,3.7617984401068436,up,False
sparse,0.5,13,3,1,-0.1977379944064755,right,False
sparse,0.5,13,4,0,1.6078221877122039,left,False
sparse,0.5,13,4,1,-0.19503174635608497,right,False
