reward_mode,gamma,lambda,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.9,0.0,exponential,3,4,2,0,-3.040554971095187,-3.749290303265168,-1.8336530754646985,-6.924235711755122,-1.8336530754646985,left,False
sparse,0.9,0.0,exponential,3,4,2,1,-1.8087404468520258,-1.9365141339387892,-0.8269120801656333,-5.033300095771076,-0.8269120801656333,left,False
sparse,0.9,0.0,exponential,3,4,3,0,-2.144755820753973,-3.834390771192403,-3.4156071634432954,-3.4878926836597266,-2.144755820753973,up,False
sparse,0.9,0.0,exponential,3,4,3,1,-1.077574640389253,-1.5003702554639466,-1.8140278762651751,-0.949493773600627,-0.949493773600627,right,False
sparse,0.9,0.0,exponential,3,4,4,0,-1.9148274553771323,-3.0701999711708154,-6.665953512409355,0.454487373895802,0.454487373895802,right,False
sparse,0.9,0.0,exponential,3,4,4,1,-0.9575791388602107,-2.6826291238674953,-4.326124088194319,-0.7056111721385873,-0.7056111721385873,right,False
sparse,0.9,0.0,exponential,3,4,5,0,-1.6066467568880956,-1.857323847974752,-2.3386215322834407,1.4795043916262527,1.4795043916262527,right,False
sparse,0.9,0.0,exponential,3,4,5,1,-0.6722319261143268,-1.2422923336512663,-1.2736764955777566,-0.6194470287530911,-0.6194470287530911,right,False
sparse,0.9,0.0,exponential,3,4,6,0,-0.27458483961544705,-0.9210026716463533,-1.0186790452047427,2.0771521832464748,2.0771521832464748,right,False
sparse,0.9,0.0,exponential,3,4,6,1,-0.6347618763128947,-0.6805178290953503,-0.7301301456916357,-0.637555453506456,-0.6347618763128947,up,False
sparse,0.9,0.0,exponential,3,4,7,0,1.1859712596597127,0.8334422327147752,0.5518720235943985,3.1061265626458483,3.1061265626458483,right,False
sparse,0.9,0.0,exponential,3,4,7,1,-0.6545576693658284,-0.6938751634937721,-0.6551678514135719,-0.7496958561276977,-0.6545576693658284,up,False
sparse,0.9,0.0,exponential,3,4,8,0,2.152241801598583,3.841549372072084,2.554993658506545,2.011828463216381,3.841549372072084,down,False
sparse,0.9,0.0,exponential,3,4,8,1,-0.6020014551289726,-0.6039500976691513,-0.6686459941916303,-0.6014388266956497,-0.6014388266956497,right,False
sparse,0.9,0.0,exponential,3,4,9,0,0.07259159213804384,-0.09869930127498448,3.2167289923597835,-0.567189409548045,3.2167289923597835,left,False
sparse,0.9,0.0,exponential,3,4,9,1,-0.6024496801608729,-0.5957931080537453,-0.5996024270518514,-0.5965700183245681,-0.5957931080537453,down,False
sparse,0.9,0.0,exponential,3,4,10,0,-1.1862206612642354,-0.912659322372382,0.6943602555509718,-1.1910344839677034,0.6943602555509718,left,False
sparse,0.9,0.0,exponential,3,4,10,1,-0.6069799539867471,-0.6569759984752344,-0.6082173747463991,-0.6502625474797553,-0.6069799539867471,up,False
sparse,0.9,0.0,exponential,3,4,11,0,-1.2772484826303496,-1.3416368115116775,-0.8692450140478167,-2.296144832365246,-0.8692450140478167,left,False
sparse,0.9,0.0,exponential,3,4,11,1,-0.6189359885472211,-0.7027774280128736,-0.6002275265812845,-1.707469047219818,-0.6002275265812845,left,False
sparse,0.9,0.0,exponential,3,4,12,0,-1.7530642080566394,-1.9547700653461797,-1.2877220779936338,-6.2153466379321785,-1.2877220779936338,left,False
sparse,0.9,0.0,exponential,3,4,12,1,-1.164939455172806,-0.8292670142687786,-0.5083377172456789,-3.8845096517638105,-0.5083377172456789,left,False
sparse,0.9,0.0,exponential,3,4,13,0,-2.470345926662096,-2.355958319287403,-2.2376236887499674,-2.0699760174383153,-2.0699760174383153,right,False
sparse,0.9,0.0,exponential,3,4,13,1,-0.8507673998582989,-1.0257506646252532,-0.9258843449813309,-2.2535580377729105,-0.8507673998582989,up,False
sparse,0.9,0.0,exponential,3,4,14,0,-1.7725790510694515,-2.086889940267289,-6.439237752077536,-1.7349129689461373,-1.7349129689461373,right,False
sparse,0.9,0.0,exponential,3,4,14,1,-1.5433397927121706,-1.3474123190844771,-4.943033039157079,-0.688852993058963,-0.688852993058963,right,False
sparse,0.9,0.0,exponential,3,4,15,0,-1.9204344521599503,-1.7768350205146508,-2.3892583973773975,-1.9276702648927404,-1.7768350205146508,down,False
sparse,0.9,0.0,exponential,3,4,15,1,-0.9511181361319733,-0.6101651287615063,-0.9062140310962806,-0.6614608754370256,-0.6101651287615063,down,False
sparse,0.9,0.0,exponential,3,4,16,0,-1.8882557884057745,-1.9437764567779379,-1.864171019457454,-2.99330123308737,-1.864171019457454,left,False
sparse,0.9,0.0,exponential,3,4,16,1,-0.737191879973309,-0.7217669590596669,-0.692428029294035,-1.2606624123086796,-0.692428029294035,left,False
sparse,0.9,0.0,exponential,3,5,1,0,-2.6550282272496895,-1.840585262760689,-2.7702566136967284,-3.0293029858229326,-1.840585262760689,down,False
sparse,0.9,0.0,exponential,3,5,1,1,-1.1930192224505316,-1.2185817780294637,-1.6133413393777003,-1.4980934374051236,-1.1930192224505316,up,False
sparse,0.9,0.0,exponential,3,5,6,0,-0.9286064106770905,-1.4578141774660744,-1.7748920813079687,1.0286651488179397,1.0286651488179397,right,False
sparse,0.9,0.0,exponential,3,5,6,1,-0.6496177134423508,-0.6816415981589938,-1.117281762202066,-0.6508537146465959,-0.6496177134423508,up,False
sparse,0.9,0.0,exponential,3,5,7,0,2.5590897222011635,-1.4196197665332009,-0.8840126935304371,-0.4050969246007542,2.5590897222011635,up,False
sparse,0.9,0.0,exponential,3,5,7,1,-0.6400005250823743,-1.1283069065917923,-0.7380695788347127,-0.7540602246318817,-0.6400005250823743,up,False
sparse,0.9,0.0,exponential,3,5,8,0,3.1791266928682207,-0.6435241406136829,-0.231949579035183,-0.5800636073552745,3.1791266928682207,up,False
sparse,0.9,0.0,exponential,3,5,8,1,-0.6030215492090273,-1.1366862226011434,-0.7137519693625258,-0.6813468597408565,-0.6030215492090273,up,False
sparse,0.9,0.0,exponential,3,5,9,0,1.9249867791127595,-1.254906945546729,0.2978299285392645,-1.2593047355641933,1.9249867791127595,up,False
sparse,0.9,0.0,exponential,3,5,9,1,-0.5825249742800611,-1.4202437867195075,-0.5778627132964593,-0.6395931779615756,-0.5778627132964593,left,False
sparse,0.9,0.0,exponential,3,5,10,0,-0.607052946439795,-1.9972205053422958,-1.349251720917663,-1.4326661108344954,-0.607052946439795,up,False
sparse,0.9,0.0,exponential,3,5,10,1,-0.5787083046708018,-1.2967687255314029,-0.9689095809442021,-0.7769395174177157,-0.5787083046708018,up,False
sparse,0.9,0.0,exponential,3,5,11,0,-1.2736476968141108,-1.5813900992419896,-1.4485333867849437,-1.630360569746486,-1.2736476968141108,up,False
sparse,0.9,0.0,exponential,3,5,11,1,-0.5273209988393962,-0.5245115222760713,-0.6650736493008951,-0.7513261752930533,-0.5245115222760713,down,False
sparse,0.9,0.0,exponential,3,5,12,0,-1.7567463853628003,-1.3224545110259311,-1.4671677830437386,-2.0553837639544565,-1.3224545110259311,down,False
sparse,0.9,0.0,exponential,3,5,12,1,-0.6391790638144588,-0.5026501629997824,-0.5263461335840162,-1.4133147385575577,-0.5026501629997824,down,False
sparse,0.9,0.0,exponential,3,5,13,0,-5.415580106235799,-1.2728681860326183,-2.307543840654399,-2.3600490858090297,-1.2728681860326183,down,False
sparse,0.9,0.0,exponential,3,5,13,1,-4.885085052812656,-0.5508703034513192,-1.7288140846889384,-1.3728138084495096,-0.5508703034513192,down,False
sparse,0.9,0.0,exponential,3,5,14,0,-2.436883867496017,-1.2798629429716124,-1.9463767975759239,-1.593464979016213,-1.2798629429716124,down,False
sparse,0.9,0.0,exponential,3,5,14,1,-0.6043223440340566,-0.5406649647692524,-1.1837299396600764,-0.6216478884616841,-0.5406649647692524,down,False
sparse,0.9,0.0,exponential,3,5,15,0,-1.706866886330439,-2.3941982759245937,-1.720203418154679,-1.662642125852971,-1.662642125852971,right,False
sparse,0.9,0.0,exponential,3,5,15,1,-0.5691104915341578,-0.80877557234633,-0.5665702420885432,-0.6307118887446326,-0.5665702420885432,left,False
sparse,0.9,0.0,exponential,3,5,16,0,-1.9004147572457817,-1.7702734878743211,-1.739603206544507,-2.2652170059525845,-1.739603206544507,left,False
